Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.84,-.41,-.48,-.67,-.37,-.50,-.49,.06,-.51,-.69,-.53,-.55,-.50,***,***,-.51,-.31,-.57
1881,-.79,-.63,-.37,-.28,-.04,-1.14,-.55,-.27,-.38,-.51,-.59,-.17,-.48,-.51,-.66,-.23,-.65,-.49
1882,.09,-.14,-.11,-.62,-.40,-1.05,-.73,-.14,-.10,-.34,-.42,-.70,-.39,-.34,-.07,-.38,-.64,-.29
1883,-.70,-.97,-.48,-.33,-.37,.42,-.03,-.18,-.48,-.59,-.71,-.41,-.40,-.43,-.79,-.39,.07,-.59
1884,-.62,-.37,-.42,-.95,-1.21,-.85,-.86,.13,-.39,-.79,-.84,-1.01,-.68,-.63,-.47,-.86,-.52,-.67
1885,-.94,-.81,-.93,-.89,-.52,-.96,-.64,-.18,-.18,-.06,-.41,-.01,-.54,-.63,-.92,-.78,-.59,-.21
1886,-.79,-.86,-.72,-.66,-.59,-.87,-.42,-.76,-.46,-.89,-.53,-.77,-.69,-.63,-.55,-.65,-.68,-.63
1887,-.91,-1.32,-.64,-.89,-.91,-.72,-.45,-.30,-.66,-.60,-.97,-.70,-.76,-.76,-1.00,-.81,-.49,-.74
1888,-.78,-.87,-.96,-.36,-.81,-.62,-.41,-.40,-.46,-.33,-.11,-.29,-.53,-.57,-.78,-.71,-.47,-.30
1889,-.36,.10,.02,.07,.02,-.31,-.49,-.66,-.43,-.27,-.49,-.49,-.27,-.26,-.18,.03,-.49,-.40
1890,-.64,-.67,-.66,-.57,-.96,-.62,-.64,-.65,-.39,-.31,-.81,-.57,-.62,-.62,-.60,-.73,-.63,-.50
1891,-1.00,-1.13,-.57,-.73,-.53,-.62,-.79,-.62,-.56,-.63,-.61,-.03,-.65,-.70,-.90,-.61,-.68,-.60
1892,-.66,-.36,-.64,-.75,-.70,-.61,-.43,-.31,-.52,-.39,-.67,-.64,-.56,-.51,-.35,-.69,-.45,-.53
1893,-1.47,-1.04,-.64,-.70,-.78,-.73,-.19,-.40,-.32,-.15,-.18,-.42,-.59,-.60,-1.05,-.71,-.44,-.22
1894,-.91,-.68,-.45,-.70,-.71,-.53,-.43,-.37,-.47,-.14,-.20,-.22,-.48,-.50,-.67,-.62,-.44,-.27
1895,-.73,-.83,-.55,-.51,-.34,-.34,-.57,-.24,-.19,-.14,-.21,-.12,-.40,-.41,-.59,-.47,-.38,-.18
1896,-.27,-.33,-.58,-.51,-.48,-.51,-.25,-.43,-.15,-.08,-.50,-.26,-.36,-.35,-.24,-.52,-.40,-.24
1897,-.31,-.55,-.35,-.15,-.30,-.22,-.15,-.35,-.19,-.27,-.05,-.27,-.26,-.26,-.37,-.26,-.24,-.17
1898,-.16,-.47,-.85,-.60,-.66,-.35,-.39,-.27,-.06,-.44,-.53,-.24,-.42,-.42,-.30,-.71,-.34,-.34
1899,-.46,-.64,-.40,-.29,-.44,-.57,-.34,-.32,-.05,-.31,-.05,-.25,-.34,-.34,-.44,-.38,-.41,-.14
1900,-.56,-.07,-.20,-.18,-.19,-.15,-.38,-.18,-.10,.12,-.15,-.07,-.18,-.19,-.29,-.19,-.24,-.04
1901,-.22,-.14,-.13,-.11,-.22,-.01,-.29,-.25,-.02,-.21,-.17,-.26,-.17,-.15,-.14,-.15,-.18,-.13
1902,-.32,-.06,-.22,-.22,-.35,-.38,-.47,-.55,-.43,-.48,-.51,-.59,-.38,-.35,-.21,-.26,-.47,-.48
1903,-.36,-.16,-.21,-.57,-.46,-.67,-.34,-.46,-.47,-.54,-.50,-.65,-.45,-.45,-.37,-.41,-.49,-.50
1904,-.83,-.79,-.59,-.47,-.67,-.52,-.64,-.53,-.49,-.56,-.29,-.44,-.57,-.59,-.76,-.58,-.56,-.44
1905,-.45,-1.00,-.27,-.36,-.38,-.33,-.46,-.29,-.24,-.39,-.10,-.26,-.38,-.39,-.63,-.34,-.36,-.25
1906,-.18,-.34,-.36,.02,-.24,-.27,-.26,-.19,-.34,-.22,-.56,-.27,-.27,-.27,-.26,-.19,-.24,-.37
1907,-.51,-.69,-.47,-.62,-.63,-.71,-.46,-.58,-.42,-.36,-.63,-.69,-.56,-.53,-.49,-.57,-.58,-.47
1908,-.40,-.35,-.54,-.48,-.36,-.47,-.42,-.42,-.20,-.43,-.62,-.43,-.42,-.45,-.48,-.46,-.44,-.42
1909,-.82,-.62,-.53,-.64,-.62,-.46,-.38,-.13,-.23,-.21,-.18,-.57,-.45,-.44,-.62,-.59,-.32,-.21
1910,-.48,-.41,-.50,-.34,-.29,-.38,-.25,-.16,-.13,-.33,-.55,-.68,-.38,-.37,-.49,-.37,-.27,-.34
1911,-.68,-.68,-.64,-.55,-.40,-.40,-.18,-.27,-.28,-.20,-.16,-.26,-.39,-.43,-.68,-.53,-.28,-.21
1912,-.20,-.14,-.45,-.31,-.21,-.29,-.53,-.65,-.38,-.49,-.45,-.36,-.37,-.36,-.20,-.32,-.49,-.44
1913,-.47,-.52,-.61,-.34,-.66,-.65,-.26,-.24,-.24,-.33,-.17,.02,-.37,-.40,-.45,-.54,-.38,-.25
1914,.11,-.07,-.08,-.23,-.05,-.12,-.24,-.10,-.11,.09,-.36,-.24,-.12,-.10,.02,-.12,-.16,-.13
1915,-.20,.02,-.15,-.06,-.25,-.26,-.01,-.23,-.05,-.13,.01,-.14,-.12,-.13,-.14,-.15,-.17,-.06
1916,-.10,-.15,-.49,-.32,-.38,-.54,-.39,-.14,-.21,-.17,-.40,-.83,-.34,-.28,-.13,-.40,-.36,-.26
1917,-.54,-.78,-.82,-.56,-.83,-.50,-.03,-.41,-.35,-.53,-.35,-.97,-.56,-.54,-.72,-.74,-.31,-.41
1918,-.66,-.62,-.52,-.58,-.81,-.47,-.51,-.51,-.21,-.02,-.28,-.39,-.46,-.51,-.75,-.63,-.49,-.17
1919,-.33,-.28,-.16,-.16,-.20,-.22,-.12,-.11,-.23,-.10,-.46,-.33,-.23,-.23,-.33,-.17,-.15,-.26
1920,-.15,-.33,-.22,-.25,-.36,-.43,-.26,-.19,-.21,-.49,-.38,-.53,-.32,-.30,-.27,-.28,-.29,-.36
1921,-.06,-.20,-.16,-.22,-.22,-.15,-.03,-.50,-.18,-.14,-.30,-.21,-.20,-.23,-.26,-.20,-.23,-.21
1922,-.44,-.49,-.35,-.14,-.41,-.36,-.07,-.27,-.17,-.31,-.14,-.18,-.28,-.28,-.38,-.30,-.23,-.21
1923,-.28,-.25,-.26,-.50,-.36,-.31,-.53,-.40,-.33,-.13,-.06,-.11,-.29,-.30,-.23,-.37,-.41,-.17
1924,-.32,-.46,-.18,-.55,-.32,-.20,-.18,-.20,-.10,-.17,-.10,-.31,-.26,-.24,-.30,-.35,-.19,-.12
1925,-.46,-.40,-.31,-.19,-.36,-.44,-.45,-.12,-.33,-.38,-.05,.15,-.28,-.32,-.39,-.29,-.34,-.26
1926,.22,.24,.17,-.15,-.39,-.25,-.19,-.01,-.02,-.15,-.01,-.29,-.07,-.03,.21,-.13,-.15,-.06
1927,-.22,-.22,-.42,-.38,-.32,-.29,-.07,-.28,-.14,.11,.09,-.26,-.20,-.20,-.24,-.37,-.21,.02
1928,.04,-.03,-.13,-.12,-.40,-.58,-.09,-.06,-.01,-.08,.07,-.07,-.12,-.14,-.08,-.22,-.24,-.01
1929,-.30,-.55,-.39,-.46,-.44,-.46,-.41,-.40,-.24,-.01,-.06,-.62,-.36,-.31,-.30,-.43,-.42,-.10
1930,-.25,-.24,-.09,-.26,-.19,-.25,-.23,-.20,-.16,-.31,.07,-.09,-.18,-.23,-.37,-.18,-.23,-.13
1931,-.15,-.30,-.07,-.31,-.19,-.11,.05,.07,-.18,.02,-.18,.05,-.11,-.12,-.18,-.19,.01,-.11
1932,.32,-.29,-.22,.05,-.19,-.47,-.23,-.19,.05,.08,-.11,-.16,-.11,-.09,.03,-.12,-.29,.01
1933,-.37,-.29,-.27,-.21,-.14,-.28,-.12,-.19,-.11,-.09,-.37,-.56,-.25,-.22,-.27,-.20,-.20,-.19
1934,-.15,-.13,-.37,-.36,.00,-.18,.00,.06,-.09,-.07,.03,.06,-.10,-.15,-.28,-.24,-.04,-.04
1935,-.34,.21,.02,-.51,-.35,-.23,-.29,-.26,-.40,-.08,-.33,-.20,-.23,-.21,-.02,-.28,-.26,-.27
1936,-.29,-.44,-.17,-.04,-.30,-.18,.20,.00,-.03,.00,.02,.07,-.10,-.12,-.31,-.17,.01,.00
1937,-.13,.04,-.22,-.20,-.03,-.06,-.12,.04,.23,.20,.28,-.09,-.01,.01,-.01,-.15,-.05,.24
1938,-.01,-.01,.18,.26,.08,-.13,.01,-.09,.09,.29,.11,-.12,.05,.06,-.04,.17,-.07,.16
1939,-.03,-.18,-.37,-.18,-.02,-.12,-.14,-.26,-.15,-.11,-.18,.32,-.12,-.16,-.11,-.19,-.17,-.14
1940,-.22,.05,.08,.00,.04,.15,.19,.07,.18,.04,.04,.22,.07,.08,.05,.04,.13,.09
1941,.01,.18,-.13,-.01,.08,.11,.24,.02,-.22,.07,-.07,.01,.02,.04,.14,-.02,.12,-.08
1942,.17,-.07,-.03,-.04,.01,.02,.03,.08,.04,-.04,.09,.02,.02,.02,.03,-.02,.04,.03
1943,-.24,.02,-.16,-.01,-.12,-.12,.08,-.20,.01,.25,.03,.18,-.02,-.04,-.07,-.10,-.08,.10
1944,.31,.10,.07,-.09,-.09,-.08,.03,.03,.20,.17,-.03,-.24,.03,.07,.20,-.04,-.01,.11
1945,-.03,-.20,-.06,.09,-.30,-.32,-.27,.18,.05,.01,-.11,-.40,-.11,-.10,-.16,-.09,-.14,-.02
1946,-.04,-.08,-.20,.02,-.03,-.21,.01,-.07,-.03,-.20,-.14,-.35,-.11,-.11,-.17,-.07,-.09,-.12
1947,-.17,.00,.14,.09,-.04,.00,-.05,.00,.00,.22,.21,-.19,.02,.00,-.17,.06,-.01,.14
1948,.17,-.19,-.31,-.14,.01,.04,-.18,-.21,-.03,-.05,-.20,-.22,-.11,-.11,-.07,-.15,-.12,-.09
1949,.02,-.38,-.10,-.27,-.16,-.18,-.11,-.14,-.09,-.03,-.06,-.20,-.14,-.14,-.19,-.18,-.14,-.06
1950,-.32,-.34,-.08,-.25,-.25,-.11,-.14,-.36,-.20,-.25,-.43,-.20,-.24,-.24,-.29,-.19,-.20,-.29
1951,-.40,-.49,-.18,-.05,.03,-.06,-.06,.08,.08,-.02,-.04,.12,-.08,-.11,-.36,-.07,-.01,.00
1952,.07,.09,-.21,-.09,-.13,-.12,.04,.08,.11,-.05,-.22,-.05,-.04,-.02,.09,-.14,.00,-.05
1953,.08,.05,.13,.08,-.05,-.01,-.07,.08,.06,.03,.01,.13,.04,.03,.02,.05,.00,.03
1954,-.31,-.09,-.12,-.15,-.19,-.21,-.28,-.19,-.19,.00,.16,-.14,-.14,-.12,-.09,-.15,-.23,-.01
1955,.21,-.11,-.40,-.18,-.19,-.20,-.17,.11,-.11,.00,-.26,-.33,-.13,-.12,-.01,-.26,-.09,-.12
1956,-.24,-.32,-.34,-.26,-.31,-.10,-.12,-.33,-.15,-.24,-.25,-.20,-.24,-.25,-.30,-.30,-.18,-.21
1957,-.15,-.06,-.08,.01,.00,.13,-.12,.13,.08,.00,.14,.20,.02,-.01,-.13,-.02,.05,.07
1958,.42,.24,.18,.08,.11,-.17,.07,-.10,-.07,.09,.08,-.06,.07,.09,.29,.12,-.07,.03
1959,.05,.09,.24,.18,-.03,.08,.10,-.01,-.14,-.11,-.09,.09,.04,.02,.03,.13,.06,-.12
1960,.08,.27,-.46,-.22,-.15,-.03,-.12,.06,.09,.11,-.10,.16,-.03,-.03,.14,-.28,-.03,.03
1961,.08,.20,.01,.12,.17,.12,-.01,.08,.15,.09,.08,-.13,.08,.11,.15,.10,.06,.11
1962,.08,.15,.11,.05,-.10,.06,-.12,-.08,.02,.02,.10,.01,.03,.01,.03,.02,-.04,.05
1963,.00,.24,-.23,-.19,-.13,.05,.06,.18,.22,.10,.06,-.05,.03,.03,.08,-.18,.10,.13
1964,-.07,-.16,-.27,-.36,-.33,-.12,-.07,-.30,-.37,-.35,-.21,-.35,-.25,-.22,-.09,-.32,-.16,-.31
1965,-.07,-.18,-.11,-.29,-.16,-.16,-.27,-.08,-.27,-.09,-.13,-.18,-.17,-.18,-.20,-.19,-.17,-.16
1966,-.21,-.03,.15,-.08,-.11,-.04,.11,-.10,-.02,-.26,-.04,-.08,-.06,-.07,-.14,-.01,-.01,-.11
1967,-.08,-.26,.01,-.08,.18,-.12,.06,.02,-.01,.11,.00,.01,-.01,-.02,-.14,.04,-.01,.03
1968,-.21,-.16,.33,-.08,-.18,-.11,-.14,-.08,-.27,.06,-.08,-.22,-.10,-.08,-.12,.02,-.11,-.09
1969,-.16,-.25,-.09,.12,.16,.04,-.02,-.09,.01,.08,.09,.33,.02,-.03,-.21,.06,-.02,.06
1970,.04,.27,.11,.13,-.05,.12,.09,-.07,.17,.12,.04,-.10,.07,.11,.21,.06,.05,.11
1971,-.01,-.12,-.19,-.03,-.07,-.20,-.10,.04,.03,-.02,-.12,-.05,-.07,-.07,-.07,-.09,-.09,-.03
1972,-.29,-.30,-.06,-.05,-.01,.08,.07,.21,.06,-.03,-.05,.16,-.02,-.04,-.21,-.04,.12,-.01
1973,.26,.32,.38,.36,.35,.28,.20,.06,.12,.21,.10,-.01,.22,.23,.24,.36,.18,.14
1974,-.06,-.23,.00,-.06,.03,.02,-.01,.13,-.14,-.07,-.07,-.03,-.04,-.04,-.10,-.01,.05,-.09
1975,.07,.10,.14,.04,.27,.05,.08,-.25,-.02,-.03,-.06,-.21,.02,.03,.05,.15,-.04,-.03
1976,-.01,-.07,-.30,-.22,-.23,-.17,-.16,-.23,-.15,-.36,-.16,-.02,-.17,-.19,-.10,-.25,-.19,-.22
1977,.15,.23,.31,.31,.31,.33,.31,.30,-.08,.01,.25,.15,.21,.20,.12,.31,.31,.06
1978,.14,.21,.28,.27,.21,.04,.20,-.13,.15,.05,.15,.12,.14,.14,.17,.25,.04,.12
1979,.18,-.10,.26,.20,.10,.21,.05,.14,.30,.28,.30,.53,.20,.17,.07,.18,.13,.29
1980,.37,.46,.41,.44,.47,.22,.38,.32,.33,.24,.30,.19,.34,.37,.45,.44,.31,.29
1981,.62,.57,.67,.51,.34,.39,.52,.54,.28,.11,.22,.48,.44,.41,.46,.50,.48,.21
1982,.13,.26,.00,.04,.26,.05,.19,.09,.10,.02,.13,.42,.14,.15,.29,.10,.11,.09
1983,.50,.41,.48,.41,.49,.29,.22,.47,.57,.35,.33,.19,.39,.41,.44,.46,.33,.42
1984,.25,.17,.38,.16,.47,.05,.19,.28,.27,.22,.12,.04,.22,.23,.20,.33,.17,.20
1985,.32,.03,.27,.21,.22,.27,.03,.36,.26,.15,.09,.14,.20,.19,.13,.23,.22,.17
1986,.39,.52,.40,.44,.34,.13,.16,.21,.03,.12,.12,.20,.25,.25,.35,.39,.17,.09
1987,.44,.53,.25,.38,.30,.56,.59,.27,.37,.35,.29,.56,.41,.38,.39,.31,.47,.34
1988,.67,.49,.62,.50,.62,.60,.45,.57,.56,.55,.18,.39,.52,.53,.57,.58,.54,.43
1989,.26,.45,.44,.42,.19,.15,.49,.52,.54,.44,.23,.40,.38,.38,.37,.35,.39,.40
1990,.53,.41,.85,.64,.56,.47,.62,.43,.31,.52,.53,.47,.53,.52,.45,.68,.50,.45
1991,.50,.63,.48,.73,.43,.69,.63,.57,.63,.36,.33,.33,.53,.54,.53,.55,.63,.44
1992,.50,.42,.54,.24,.27,.31,.08,.15,-.03,.09,.03,.25,.24,.24,.42,.35,.18,.03
1993,.40,.43,.34,.31,.28,.29,.40,.23,.11,.25,.10,.20,.28,.28,.36,.31,.31,.15
1994,.40,.09,.28,.54,.28,.58,.42,.27,.43,.42,.52,.45,.39,.37,.23,.37,.42,.46
1995,.57,.90,.53,.59,.39,.52,.64,.58,.48,.68,.54,.41,.57,.57,.64,.50,.58,.57
1996,.42,.62,.46,.52,.36,.34,.58,.77,.45,.34,.52,.55,.49,.48,.48,.44,.56,.44
1997,.48,.55,.66,.40,.45,.68,.35,.47,.51,.62,.73,.71,.55,.54,.53,.50,.50,.62
1998,.74,1.21,.84,.83,.95,1.05,.92,.86,.59,.68,.66,.79,.84,.84,.88,.87,.94,.65
1999,.69,.86,.50,.42,.50,.63,.64,.55,.66,.64,.59,.52,.60,.62,.78,.47,.61,.63
2000,.31,.78,.70,.75,.57,.69,.64,.61,.55,.35,.48,.49,.58,.58,.54,.67,.64,.46
2001,.58,.62,.69,.61,.74,.66,.72,.64,.71,.62,.79,.73,.68,.66,.56,.68,.68,.71
2002,.97,.90,1.13,.80,.87,.65,.84,.69,.82,.65,.72,.56,.80,.81,.87,.93,.73,.73
2003,.93,.75,.73,.69,.88,.64,.66,.86,.82,.84,.65,.88,.78,.75,.75,.77,.72,.77
2004,.73,.93,.84,.76,.48,.67,.23,.59,.59,.83,.88,.66,.68,.70,.85,.69,.50,.77
2005,.95,.86,.95,.84,.76,.83,.80,.74,.98,.99,.90,.89,.88,.86,.82,.85,.79,.96
2006,.76,.91,.80,.68,.49,.76,.65,.82,.73,.82,.86,.91,.77,.76,.85,.66,.75,.80
2007,1.22,.93,.92,.94,.94,.65,.79,.85,.81,.79,.72,.71,.86,.87,1.02,.93,.76,.78
2008,.47,.45,.90,.66,.56,.53,.73,.40,.82,.73,.81,.72,.65,.65,.54,.71,.55,.79
2009,.75,.74,.65,.74,.81,.80,.87,.84,.91,.74,.83,.77,.79,.79,.74,.74,.84,.83
2010,.97,1.05,1.12,.99,.95,.85,.74,.83,.86,.95,1.00,.69,.92,.92,.93,1.02,.81,.94
2011,.72,.69,.77,.81,.64,.73,.90,.95,.77,.84,.78,.80,.78,.77,.70,.74,.86,.79
2012,.62,.58,.70,.80,.94,.72,.58,.85,.90,.94,.94,.72,.77,.78,.66,.81,.72,.93
2013,.98,.74,.85,.66,.67,.86,.66,.80,1.01,.85,.87,.83,.82,.81,.81,.73,.77,.91
2014,.96,.66,.78,.90,1.05,.77,.72,.85,1.10,1.02,.80,.98,.88,.87,.82,.91,.78,.97
2015,.95,1.07,1.11,.77,.85,.84,.69,.90,.81,1.18,1.19,1.41,.98,.94,1.00,.91,.81,1.06
2016,1.37,1.65,1.64,1.35,1.16,.92,.97,1.29,1.11,1.21,1.18,1.12,1.25,1.27,1.48,1.39,1.06,1.16
2017,1.11,1.42,1.36,1.18,1.19,.77,***,***,***,***,***,***,***,***,1.22,1.24,***,***
